Serial Number:20365150 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","EOF"
2019-10-12 23:49:20,29.68,0, , , 
2019-10-13 00:49:20,29.52,0, , , 
2019-10-13 01:49:20,29.29,0, , , 
2019-10-13 02:49:20,29.29,0, , , 
2019-10-13 03:49:20,28.91,0, , , 
2019-10-13 04:49:20,27.59,0, , , 
2019-10-13 05:49:20,26.90,0, , , 
2019-10-13 06:49:20,26.13,0, , , 
2019-10-13 07:49:20,28.29,98, , , 
2019-10-13 08:49:20,48.52,464, , , 
2019-10-13 09:49:20,54.47,199, , , 
2019-10-13 10:49:20,59.49,150, , , 
2019-10-13 11:49:20,62.11,122, , , 
2019-10-13 12:49:20,66.28,114, , , 
2019-10-13 13:49:20,69.52,106, , , 
2019-10-13 14:49:20,73.39,119, , , 
2019-10-13 15:49:20,73.23,115, , , 
2019-10-13 16:49:20,70.99,103, , , 
2019-10-13 17:49:20,67.75,45, , , 
2019-10-13 18:49:20,49.91,0, , , 
2019-10-13 19:49:20,43.66,0, , , 
2019-10-13 20:49:20,39.33,0, , , 
2019-10-13 21:49:20,36.63,0, , , 
2019-10-13 22:49:20,33.93,0, , , 
2019-10-13 23:49:20,32.38,0, , , 
2019-10-14 00:49:20,32.77,0, , , 
2019-10-14 01:49:20,35.93,0, , , 
2019-10-14 02:49:20,34.08,0, , , 
2019-10-14 03:49:20,41.96,0, , , 
2019-10-14 04:49:20,37.94,0, , , 
2019-10-14 05:49:20,34.39,0, , , 
2019-10-14 06:49:20,35.39,0, , , 
2019-10-14 07:49:20,36.94,89, , , 
2019-10-14 08:49:20,58.79,306, , , 
2019-10-14 09:49:20,67.59,178, , , 
2019-10-14 10:49:20,68.83,154, , , 
2019-10-14 11:49:20,71.69,139, , , 
2019-10-14 12:49:20,73.77,120, , , 
2019-10-14 13:49:20,75.32,117, , , 
2019-10-14 14:49:20,76.17,130, , , 
2019-10-14 15:49:20,74.93,129, , , 
2019-10-14 16:49:20,72.77,113, , , 
2019-10-14 17:49:20,68.83,47, , , 
2019-10-14 18:49:20,64.20,0, , , 
2019-10-14 19:49:20,63.11,0, , , 
2019-10-14 20:49:20,57.79,0, , , 
2019-10-14 21:49:20,51.45,0, , , 
2019-10-14 22:49:20,46.13,0, , , 
2019-10-14 23:49:20,42.27,0, , , 
2019-10-15 00:49:20,38.94,0, , , 
2019-10-15 01:49:20,36.94,0, , , 
2019-10-15 02:49:20,39.79,0, , , 
2019-10-15 03:49:20,35.39,0, , , 
